wetbed_struct_gain,wetbed_struct_rate,wetbed_impact_release_rate,rmse_ml,velocity_rmse_mlps,drain_time_error_s,brew_time_s,drain_time_s,chi_max,ey_pct,score
0.3,0.05,0.9,13.844682592026665,1.177722922770273,-2.652947719688541,106.51835372636263,132.34705228031146,0.18530429645963375,10.887507954724773,15.823502793757157
0.45,0.03,0.9,13.866588604774778,1.1771986078960055,-2.652947719688541,106.31813125695217,132.34705228031146,0.11624874071114083,10.885652506331969,15.84462233419387
0.3,0.03,0.3,13.8690621713426,1.1759175795980576,-2.652947719688541,106.31813125695217,132.34705228031146,0.12632542342476594,10.88535142648556,15.84517435831477
1.0,0.1,0.9,13.619338838315977,1.2106985975322724,5.15572858731926,110.52280311457176,140.15572858731926,0.3333006470670862,11.00884255015021,15.847845021599927
0.15,0.13,1.8,13.874847549871545,1.178283733133705,-2.652947719688541,106.31813125695217,132.34705228031146,0.38007970468867097,10.886553728498537,15.854508967147185
0.3,0.05,1.2,13.882648905750754,1.1777986280319128,-2.652947719688541,106.31813125695217,132.34705228031146,0.17984442081379706,10.885634563350253,15.861582665373707
0.15,0.1,0.9,13.884562823579477,1.1774669645814715,-2.652947719688541,106.31813125695217,132.34705228031146,0.33247175770892173,10.885925193781304,15.862999088026767
0.15,0.08,0.6,13.898530031734955,1.1766158062563121,-2.8531701890989893,106.31813125695217,132.146829810901,0.286949798056997,10.884156348348082,15.891707356247341
0.15,0.1,1.2,13.902106266363155,1.177524601477766,-2.8531701890989893,106.31813125695217,132.146829810901,0.32355246550539674,10.883790475809842,15.896646783707723
0.45,0.03,1.2,13.90942249213405,1.177576930526442,-2.8531701890989893,106.31813125695217,132.146829810901,0.11273689715409617,10.88396577058905,15.904041503051632
0.7,0.16,0.9,13.673625554782609,1.212155156540691,5.355951056729708,110.52280311457176,140.3559510567297,0.47107472854057075,11.011893885349416,15.920334374132022
0.3,0.05,1.8,13.92551328822033,1.177920900114612,-2.8531701890989893,106.31813125695217,132.146829810901,0.17131591177961614,10.883022849924537,15.920648253520167
0.15,0.03,0.0,13.93294727665578,1.176997043616434,-2.8531701890989893,106.31813125695217,132.146829810901,0.20843261297569282,10.88356640856885,15.92669645720835
0.15,0.1,1.8,13.94930021945304,1.1776697326301342,-2.8531701890989893,106.31813125695217,132.146829810901,0.309851031902795,10.881820339665758,15.944058433526159
0.45,0.03,1.8,13.949376439563107,1.1777595469172752,-2.8531701890989893,106.31813125695217,132.146829810901,0.10712939657757722,10.881618795509091,15.944269375066938
0.15,0.08,0.9,13.950855626357479,1.177172712130938,-2.8531701890989893,106.31813125695217,132.146829810901,0.277637237321052,10.882004041032488,15.944868309681805
0.15,0.05,0.3,13.947013710901404,1.175793794537297,-3.0533926585094378,106.31813125695217,131.94660734149056,0.2005103282918189,10.880410618186076,15.954975815388105
0.3,0.03,0.6,13.95933621028625,1.1762547139491366,-3.0533926585094378,106.31813125695217,131.94660734149056,0.12063948450441268,10.88044944691832,15.96798969389071
1.0,0.13,1.8,13.719600269672545,1.219157880047467,5.355951056729708,110.52280311457176,140.3559510567297,0.38087681689731795,11.012680927355603,15.976813174282123
0.15,0.08,1.2,13.979007474970052,1.1772537807990304,-3.0533926585094378,106.11790878754172,131.94660734149056,0.2699686163368164,10.880406329901627,15.989159558849353
0.3,0.03,0.9,13.999896660877166,1.176523483077939,-3.0533926585094378,106.11790878754172,131.94660734149056,0.11622510460769811,10.87818542211724,16.00895329817483
0.15,0.08,1.8,14.008257276901286,1.177337710273889,-3.0533926585094378,106.11790878754172,131.94660734149056,0.2578670358481177,10.87865969541107,16.018535254992877
0.15,0.05,0.6,14.010272178025708,1.1764374330467402,-3.2536151279199146,106.11790878754172,131.74638487208009,0.19195299612464276,10.876707206498832,16.03521753782941
0.3,0.03,1.2,14.02590559831532,1.1769956353339035,-3.2536151279199146,106.11790878754172,131.74638487208009,0.11271249712059885,10.876958724114461,16.05168826154977
0.15,0.05,0.9,14.064112609210953,1.1764451339998168,-3.2536151279199146,106.11790878754172,131.74638487208009,0.18523714398281835,10.875564319554002,16.089069520444273
0.3,0.03,1.8,14.075654266516207,1.1770556959778695,-3.2536151279199146,106.11790878754172,131.74638487208009,0.10714603233182872,10.87597280726457,16.101527020716606
