wetbed_struct_gain,wetbed_struct_rate,wetbed_impact_release_rate,rmse_ml,velocity_rmse_mlps,drain_time_error_s,brew_time_s,drain_time_s,chi_max,ey_pct,score
0.6,0.0,1.8,14.301332169490006,1.1760711760839495,-4.111389236545676,105.65707133917397,130.88861076345432,0.0,10.858129185766519,16.394350072539584
1.0,0.0,0.0,14.301332169490006,1.1760711760839495,-4.111389236545676,105.65707133917397,130.88861076345432,0.0,10.858129185766519,16.394350072539584
1.0,0.0,0.6,14.301332169490006,1.1760711760839495,-4.111389236545676,105.65707133917397,130.88861076345432,0.0,10.858129185766519,16.394350072539584
1.0,0.0,1.2,14.301332169490006,1.1760711760839495,-4.111389236545676,105.65707133917397,130.88861076345432,0.0,10.858129185766519,16.394350072539584
1.0,0.0,1.8,14.301332169490006,1.1760711760839495,-4.111389236545676,105.65707133917397,130.88861076345432,0.0,10.858129185766519,16.394350072539584
0.0,0.16,1.8,14.301565049070742,1.1760785895312567,-4.111389236545676,105.65707133917397,130.88861076345432,0.44152892382352826,10.858482840501543,16.39459407229128
0.0,0.16,0.0,14.303656870565872,1.1763972782105352,-4.111389236545676,105.88235294117648,130.88861076345432,0.6330344585572503,10.85872583753299,16.39716392680533
0.0,0.1,0.6,14.308310466309935,1.176371469619432,-4.111389236545676,105.65707133917397,130.88861076345432,0.3430445986571675,10.858505268957328,16.401778809662737
0.0,0.16,1.2,14.308780675391393,1.1761267963073603,-4.111389236545676,105.65707133917397,130.88861076345432,0.4589795198515466,10.858395996524816,16.401882008776088
0.0,0.05,0.6,14.30839830076327,1.176397319042844,-4.111389236545676,105.88235294117648,130.88861076345432,0.1918508067906648,10.858793580688545,16.401905418251193
0.0,0.16,0.6,14.309900119352763,1.176124079639671,-4.111389236545676,105.65707133917397,130.88861076345432,0.4828250896789786,10.858630189241156,16.402997377735925
0.0,0.1,1.8,14.31737369893954,1.1761628989026816,-4.111389236545676,105.65707133917397,130.88861076345432,0.3097387519145286,10.858797658456163,16.410529186217218
0.0,0.05,1.8,14.317504269625907,1.1761597905263048,-4.111389236545676,105.88235294117648,130.88861076345432,0.171219826294969,10.858900203107456,16.410655094339017
0.0,0.1,0.0,14.320670990399387,1.1763366062928167,-4.111389236545676,105.88235294117648,130.88861076345432,0.497640073952747,10.859042573392923,16.414087038762265
0.0,0.05,1.2,14.320810140648746,1.1763217379246975,-4.111389236545676,105.88235294117648,130.88861076345432,0.17973008997164772,10.859093281682654,16.414203886459447
0.0,0.05,0.0,14.33103672663476,1.1764174709306767,-4.111389236545676,105.88235294117648,130.88861076345432,0.3131372622006059,10.859553934382609,16.42457407195443
1.0,0.16,1.8,14.18117791899857,1.2310695660435003,7.1526908635794655,111.51439299123905,142.15269086357947,0.4431443055203271,11.033749901723596,16.599997537150177
0.6,0.1,0.0,14.32397473794943,1.2198345654161307,7.603254067584487,112.41551939924906,142.6032540675845,0.504270585015024,11.04451358695076,16.761986911480385
1.0,0.05,0.0,14.333956984752383,1.2222144982872825,8.05381727158948,112.41551939924906,143.05381727158948,0.31814755611828965,11.050606559653541,16.811584113910463
1.0,0.16,1.2,14.566576520599542,1.2346204873826558,8.279098873592005,112.41551939924906,143.279098873592,0.46060708537375833,11.051557902594375,17.080835161560884
1.0,0.16,0.6,15.550238851491143,1.2374311533254971,10.531914893617028,113.76720901126409,145.53191489361703,0.4846627875125341,11.085059850896306,18.24893877296875
0.6,0.16,0.0,15.841634313316964,1.2360873365536509,10.757196495619525,114.44305381727159,145.75719649561952,0.6411725307873659,11.090169772465222,18.556341037797004
1.0,0.1,0.0,17.92109191934787,1.2541479092837235,14.812265331664577,116.92115143929912,149.81226533166458,0.5069952791191862,11.146504663410234,20.987295009806623
1.0,0.16,0.0,21.312008439291095,1.2698084802059508,19.092615769712154,120.07509386733418,154.09261576971215,0.6441621174636781,11.203465884561934,24.744130421176994
