t_s,h_mm,q_in_mlps,q_ext_mlps,q_bp_mlps,q_out_mlps,q_cup_mlps,v_in_ml,v_out_ml,v_bed_ml,v_cup_ml,sat,phi_eff,u_pore_mps,k_vals_m2,bypass_ratio,C_out_gl,T_bed_C,T_dripper_C,T_cup_C
164.84713729849915,0.09697286085762558,0.0,0.01315764999644936,0.0,0.01315764999644936,0.01316193172753424,301.151139521955,268.04457039233347,268.03868577596967,268.0307221086715,1.0,0.38,3.5161362748051896,5.718278745560373e-11,0.0,3.4698136414342717,91.37323954127271,23.0,91.42698194462065
164.96942745969983,0.09697286085762558,0.0,0.013157389933901037,0.0,0.013157389933901037,0.013161685775048344,301.151139521955,268.046185069559,268.0403004531952,268.0323316533466,1.0,0.38,3.516066777945179,5.718275599982488e-11,0.0,3.4731928795650555,91.37014590270314,23.0,91.42388591897424
165.09171762090048,0.09697286085762558,0.0,0.013157129101606968,0.0,0.013157129101606968,0.013161439007040624,301.151139521955,268.0477997148075,268.0419150984437,268.03394116784443,1.0,0.38,3.5159970753849907,5.718272454475835e-11,0.0,3.4765713083680403,91.36705240410942,23.0,91.42079003365016
165.21400778210116,0.09697286085762558,0.0,0.013156867502385242,0.0,0.013156867502385242,0.013161191426137147,301.151139521955,268.0494143279849,268.0435297116211,268.0355506520655,1.0,0.38,3.515927167877706,5.7182693090405865e-11,0.0,3.4799489273920776,91.3639590454851,23.0,91.41769428861804
165.33629794330182,0.09697286085762558,0.0,0.013156605139044172,0.0,0.013156605139044172,0.013160943034976325,301.151139521955,268.0510289089971,268.0451442926333,268.0371601059108,1.0,0.38,3.515857056173795,5.7182661636768994e-11,0.0,3.4833257361879766,91.36086582682401,23.0,91.41459868384894
165.4585881045025,0.09697286085762558,0.0,0.013156342014382323,0.0,0.013156342014382323,0.013160693836207554,301.151139521955,268.05264345775066,268.04675884138686,268.0387695292815,1.0,0.38,3.5157867410211217,5.718263018384945e-11,0.0,3.4867017343085136,91.35777274811971,23.0,91.41150321931521
165.58087826570315,0.09697286085762558,0.0,0.013156078131188539,0.0,0.013156078131188539,0.01316044383248995,301.151139521955,268.0542579741522,268.0483733577884,268.0403789220793,1.0,0.38,3.5157162231649526,5.7182598731648875e-11,0.0,3.4900769213084146,91.35467980936585,23.0,91.40840789499056
165.70316842690383,0.09697286085762558,0.0,0.013155813492241994,0.0,0.013155813492241994,0.01316019302649115,301.151139521955,268.05587245810904,268.04998784174524,268.04198828420596,1.0,0.38,3.5156455033479697,5.7182567280168916e-11,0.0,3.4934512967443596,91.35158701055616,23.0,91.4053127108498
165.8254585881045,0.09697286085762558,0.0,0.013155548100312225,0.0,0.013155548100312225,0.01315994142088621,301.151139521955,268.0574869095285,268.0516022931647,268.0435976155637,1.0,0.38,3.51557458231028,5.718253582941115e-11,0.0,3.4968248601749656,91.34849435168434,23.0,91.40221766686894
165.94774874930516,0.09697286085762558,0.0,0.013155281958159133,0.0,0.013155281958159133,0.013159689018356546,301.151139521955,268.05910132831843,268.05321671195463,268.0452069160551,1.0,0.38,3.5155034607894167,5.718250437937728e-11,0.0,3.5001976111607873,91.3454018327439,23.0,91.39912276302499
166.07003891050584,0.09697286085762558,0.0,0.013155015068533065,0.0,0.013155015068533065,0.013159435821588966,301.151139521955,268.06071571438696,268.05483109802316,268.04681618558305,1.0,0.38,3.515432139520357,5.718247293006889e-11,0.0,3.503569549264315,91.34230945372872,23.0,91.39602799929601
166.1923290717065,0.09697286085762558,0.0,0.01315474743417478,0.0,0.01315474743417478,0.013159181833274747,301.151139521955,268.06233006764245,268.05644545127865,268.0484254240507,1.0,0.38,3.515360619235519,5.718244148148756e-11,0.0,3.506940674049962,91.3392172146323,23.0,91.39293337566093
166.31461923290718,0.09697286085762558,0.0,0.013154479057815562,0.0,0.013154479057815562,0.013158927056108775,301.151139521955,268.0639443879939,268.0580597716301,268.05003463136165,1.0,0.38,3.5152889006647854,5.7182410033635004e-11,0.0,3.510310985084061,91.33612511544834,23.0,91.38983889209965
166.43690939410783,0.09697286085762558,0.0,0.013154209942177177,0.0,0.013154209942177177,0.013158671492788742,301.151139521955,268.0655586753503,268.0596740589865,268.0516438074197,1.0,0.38,3.5152169845355,5.7182378586512704e-11,0.0,3.5136804819348577,91.33303315617059,23.0,91.38674454859286
166.5591995553085,0.09697286085762558,0.0,0.013153940089971972,0.0,0.013153940089971972,0.013158415146014396,301.151139521955,268.06717292962117,268.06128831325736,268.053252952129,1.0,0.38,3.515144871572485,5.7182347140122335e-11,0.0,3.5170491641725095,91.32994133679267,23.0,91.38365034512202
166.68148971650916,0.09697286085762558,0.0,0.013153669503902858,0.0,0.013153669503902858,0.013158158018486828,301.151139521955,268.06878715071633,268.06290253435253,268.0548620653942,1.0,0.38,3.5150725624980437,5.718231569446547e-11,0.0,3.5204170313690755,91.32684965730823,23.0,91.38055628166939
166.80377987770984,0.09697286085762558,0.0,0.013153398186663345,0.0,0.013153398186663345,0.01315790011290782,301.151139521955,268.070401338546,268.0645167221822,268.0564711471201,1.0,0.38,3.5150000580319656,5.7182284249543695e-11,0.0,3.523784083098512,91.32375811771095,23.0,91.37746235821785
166.9260700389105,0.09697286085762558,0.0,0.013153126140937615,0.0,0.013153126140937615,0.013157641431979223,301.151139521955,268.07201549302044,268.06613087665664,268.05808019721184,1.0,0.38,3.514927358891549,5.7182252805358565e-11,0.0,3.5271503189366635,91.32066671799453,23.0,91.37436857475102
167.04836020011118,0.09697286085762558,0.0,0.013152853369400497,0.0,0.013152853369400497,0.013157381978402376,301.151139521955,268.07362961405056,268.06774499768676,268.05968921557496,1.0,0.38,3.5148544657915917,5.7182221361911706e-11,0.0,3.5305157384612675,91.31757545815259,23.0,91.37127493125308
167.17065036131183,0.09697286085762558,0.0,0.013152579874717565,0.0,0.013152579874717565,0.013157121754877571,301.151139521955,268.0752437015476,268.0693590851838,268.0612982021153,1.0,0.38,3.5147813794444187,5.718218991920465e-11,0.0,3.533880341251935,91.31448433817883,23.0,91.3681814277088
167.2929405225125,0.09697286085762558,0.0,0.013152305659545116,0.0,0.013152305659545116,0.013156860764103542,301.151139521955,268.0768577554228,268.070973139059,268.0629071567391,1.0,0.38,3.5147081005598753,5.718215847723895e-11,0.0,3.537244126890158,91.311393358067,23.0,91.36508806410353
167.41523068371316,0.09697286085762558,0.0,0.013152030726530196,0.0,0.013152030726530196,0.013156599008776994,301.151139521955,268.07847177558807,268.07258715922427,268.0645160793527,1.0,0.38,3.5146346298453355,5.71821270360162e-11,0.0,3.5406070949592925,91.3083025178106,23.0,91.36199484042312
167.53752084491384,0.09697286085762558,0.0,0.01315175507831069,0.0,0.01315175507831069,0.013156336491592166,301.151139521955,268.08008576195544,268.07420114559164,268.06612496986304,1.0,0.38,3.5145609680057253,5.718209559553792e-11,0.0,3.5439692450445612,91.30521181740346,23.0,91.3589017566539
167.6598110061145,0.09697286085762558,0.0,0.013151478717515307,0.0,0.013151478717515307,0.013156073215240406,301.151139521955,268.08169971443743,268.07581509807363,268.0677338281773,1.0,0.38,3.514487115743517,5.7182064155805684e-11,0.0,3.547330576733045,91.30212125683914,23.0,91.35580881278268
167.78210116731518,0.09697286085762558,0.0,0.013151201646763585,0.0,0.013151201646763585,0.013155809182409795,301.151139521955,268.08331363294667,268.07742901658287,268.06934265420296,1.0,0.38,3.514413073758734,5.718203271682098e-11,0.0,3.550691089613678,91.2990308361114,23.0,91.3527160087967
